"","NAME","GEOID","hh_type_total_countE","aff_grade_avg","aff_grade_1","aff_grade_2","aff_grade_3","aff_grade_4","aff_grade_5","aff_grade_6","aff_grade_7","HBI_size_avg","HBI_size_1","HBI_size_2","HBI_size_3","HBI_size_4","HBI_size_5","HBI_size_6","HBI_size_7","PPI","hh_income_upper_limit_Q1E","hh_size_avg_overallE","white_perc","Cutoff_Perc","CAP_Perc","bachAbove","own_rate","Incentive_rate","Interrup","boil_rate"
"26","Census Tract 8803.06, Will County, Illinois","17197880306",1930,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",0.882763623675493,0.404026962571557,0.59325093929248,0.782474916013403,0.971698892734327,1.16092286945525,1.35014684617617,1.5393708228971,5.6476455919026,107708,3.53,0.487897902303066,0.936707908357771,0.792800882917974,67.363304981774,91.5652046354702,18.3163035952554,0,0
"27","Census Tract 8465.13, DuPage County, Illinois","17043846513",900,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.3236045212384,0.709160681908891,1.04129248695187,1.37342429199484,1.70555609703782,2.0376879020808,2.36981970712377,2.70195151216675,5.37383177570093,61364,2.85,0.622663551401869,1.02690145680108,0.910655252170207,68.3970336565887,92.0171339563863,18.6079758884634,0,0
"28","Census Tract 8464.04, DuPage County, Illinois","17043846404",2780,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.83469847298321,1.18165845940905,1.73508219972614,2.28850594004322,2.8419296803603,3.39535342067739,3.94877716099447,4.50220090131155,19.6399074991741,36827,2.18,0.812231247013856,4.26627906244758,4.02595689261358,48.8798370672098,57.4000660720185,8.60222449684952,0,0
"29","Census Tract 8461.02, DuPage County, Illinois","17043846102",2002,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.77982422326072,1.1226121165168,1.64838180191194,2.17415148730708,2.69992117270222,3.22569085809736,3.7514605434925,4.27723022888764,18.2967398536261,38764,2.25,0.6715457972943,3.63311841248361,3.2751245090313,56.8660207150017,47.4606342869816,7.71206731382885,0,0
"30","Census Tract 8462.02, DuPage County, Illinois","17043846202",2415,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.61718745744698,0.957784441172163,1.40635792163122,1.85493140209027,2.30350488254933,2.75207836300839,3.20065184346744,3.6492253239265,8.7378640776699,45435,2.47,0.683917556792538,1.46076211477536,1.32224573732043,72.8751821272462,75.5749538358234,14.6821765786931,0,0
"31","Census Tract 8803.10, Will County, Illinois","17197880310",3834,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.29295688285769,0.600780518605313,0.882153024398962,1.16352553019261,1.44489803598626,1.72627054177991,2.00764304757356,2.28901555336721,5.47034378541745,72434,3.46,0.716711956521739,1.02630648544796,0.939084378566476,63.0810603150211,89.387077294686,17.0590528745197,0,0
"32","Census Tract 8464.13, DuPage County, Illinois","17043846413",1477,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.26900210032517,0.800414510091547,1.17528458227844,1.55015465446534,1.92502472665224,2.29989479883913,2.67476487102603,3.04963494321293,10.0695494405806,54368,2.25,0.760285714285714,1.4071841138098,1.30598747339668,63.0780894617134,54.0102132772604,9.20368428056703,0,0
"33","Census Tract 8803.07, Will County, Illinois","17197880307",2106,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.82074111843879,0.970645196276341,1.42524194609583,1.87983869591532,2.33443544573481,2.7890321955543,3.24362894537379,3.69822569519328,18.4267063295323,44833,2.87,0.545694926458437,3.78757270611182,3.27135865707357,61.158117398202,65.8734093538258,11.1952491988581,0,0
"34","Census Tract 8803.08, Will County, Illinois","17197880308",2777,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.01683593080322,0.490630198483102,0.720414361068306,0.950198523653509,1.17998268623871,1.40976684882392,1.63955101140912,1.86933517399432,6.54266958424508,88696,3.29,0.621553610503282,1.02261464364179,0.906513197721978,63.7609841827768,92.1663019693654,17.9599374017208,0,0
"35","Census Tract 8465.14, DuPage County, Illinois","17043846514",1237,"Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden","Low Burden",1.13172806498916,0.541174651602462,0.794631052197613,1.04808745279276,1.30154385338791,1.55500025398306,1.80845665457821,2.06191305517336,7.88834951456311,80412,3.33,0.496844660194175,1.15302672912164,0.978981262412723,64.4047619047619,76.3592233009709,13.8385114992437,0,0
